A,T,D,S,Ti,function
1,0,0,0,0,228.75
1,0,0,0,0,190
1,0,0,0,0,253.75
0,1,0,0,0,727.5
0,1,0,0,0,868.75
0,1,0,0,0,937.5
0,0,1,0,0,1377.5
0,0,1,0,0,1581.25
0,0,1,0,0,1370
0,0,0,1,0,28300
0,0,0,1,0,24475
0,0,0,1,0,24250
0,0,0,0,1,5900
0,0,0,0,1,6375
0,0,0,0,1,5375
1,0,1,0,0,1353.75
1,0,1,0,0,973.75
1,0,1,0,0,923.75
0,0,1,1,0,19901.25
0,0,1,1,0,12852.5
0,0,1,1,0,12450
1,0,0,1,0,12512.5
1,0,0,1,0,9763.75
1,0,0,1,0,11515
1,1,0,0,0,586.25
1,1,0,0,0,562.5
1,1,0,0,0,511.25
0,1,1,0,0,865
0,1,1,0,0,997.5
0,1,1,0,0,931.25
0,1,0,1,0,8161.25
0,1,0,1,0,7912.5
0,1,0,1,0,8752.5
0,1,0,0,1,1727.5
0,1,0,0,1,1365
0,1,0,0,1,1546.25
0,0,1,0,1,2578.75
0,0,1,0,1,3137.5
0,0,1,0,1,2823.75
1,0,0,0,1,2976.25
1,0,0,0,1,3310
1,0,0,0,1,2556.25
0,0,0,1,1,12450
0,0,0,1,1,10625
0,0,0,1,1,10600
1,1,1,1,1,7567.5
1,1,1,1,1,5947.5
1,1,1,1,1,5457.5
1,1,1,1,1,5930
1,1,1,1,1,5357.5
0,0,0,0,0,0
