as.nat,fa.nat,la.nat,po.nat,as.inv,fa.inv,la.inv,po.inv,function
1,0,0,0,0,0,0,0,1.4711
1,0,0,0,0,0,0,0,1.7968
1,0,0,0,0,0,0,0,1.8993
1,0,0,0,0,0,0,0,2.0634
1,0,0,0,0,0,0,0,2.2665
1,0,0,0,0,0,0,0,2.3062
1,0,0,0,0,0,0,0,2.3571
1,0,0,0,0,0,0,0,2.4591
1,0,0,0,0,0,0,0,2.8099
1,0,0,0,0,0,0,0,3.1847
0,1,0,0,0,0,0,0,5.774
0,1,0,0,0,0,0,0,5.9155
0,1,0,0,0,0,0,0,6.1205
0,1,0,0,0,0,0,0,6.1685
0,1,0,0,0,0,0,0,6.493
0,1,0,0,0,0,0,0,6.6151
0,1,0,0,0,0,0,0,7.0063
0,1,0,0,0,0,0,0,8.0686
0,1,0,0,0,0,0,0,8.2209
0,1,0,0,0,0,0,0,8.5081
1,1,0,0,0,0,0,0,3.8229
1,1,0,0,0,0,0,0,3.8439
1,1,0,0,0,0,0,0,3.8463
1,1,0,0,0,0,0,0,4.3988
1,1,0,0,0,0,0,0,5.1379
1,1,0,0,0,0,0,0,5.2787
1,1,0,0,0,0,0,0,5.3006
1,1,0,0,0,0,0,0,6.0178
1,1,0,0,0,0,0,0,6.3806
1,1,0,0,0,0,0,0,6.8596
0,0,1,0,0,0,0,0,0.8131
0,0,1,0,0,0,0,0,0.8477
0,0,1,0,0,0,0,0,0.8931
0,0,1,0,0,0,0,0,1.0069
0,0,1,0,0,0,0,0,1.1004
0,0,1,0,0,0,0,0,1.1016
0,0,1,0,0,0,0,0,1.2611
0,0,1,0,0,0,0,0,1.2676
0,0,1,0,0,0,0,0,1.4422
0,0,1,0,0,0,0,0,1.4863
1,0,1,0,0,0,0,0,1.4734
1,0,1,0,0,0,0,0,2.1991
1,0,1,0,0,0,0,0,2.2899
1,0,1,0,0,0,0,0,2.4996
1,0,1,0,0,0,0,0,2.5093
1,0,1,0,0,0,0,0,2.5835
1,0,1,0,0,0,0,0,2.7663
1,0,1,0,0,0,0,0,3.0833
1,0,1,0,0,0,0,0,3.1641
1,0,1,0,0,0,0,0,3.7927
0,1,1,0,0,0,0,0,2.992
0,1,1,0,0,0,0,0,3.6027
0,1,1,0,0,0,0,0,4.5523
0,1,1,0,0,0,0,0,4.9208
0,1,1,0,0,0,0,0,5.7488
0,1,1,0,0,0,0,0,6.0862
0,1,1,0,0,0,0,0,6.194
0,1,1,0,0,0,0,0,6.2469
0,1,1,0,0,0,0,0,6.7717
0,1,1,0,0,0,0,0,7.1157
1,1,1,0,0,0,0,0,3.4419
1,1,1,0,0,0,0,0,4.442
1,1,1,0,0,0,0,0,4.4678
1,1,1,0,0,0,0,0,4.6388
1,1,1,0,0,0,0,0,5.0614
1,1,1,0,0,0,0,0,5.07
1,1,1,0,0,0,0,0,5.0802
1,1,1,0,0,0,0,0,5.1424
1,1,1,0,0,0,0,0,5.2728
1,1,1,0,0,0,0,0,6.0618
0,0,0,1,0,0,0,0,2.0062
0,0,0,1,0,0,0,0,2.2074
0,0,0,1,0,0,0,0,2.9558
0,0,0,1,0,0,0,0,3.0592
0,0,0,1,0,0,0,0,3.1185
0,0,0,1,0,0,0,0,3.5308
0,0,0,1,0,0,0,0,3.5788
0,0,0,1,0,0,0,0,3.9907
0,0,0,1,0,0,0,0,4.0316
0,0,0,1,0,0,0,0,4.1549
0,0,0,1,0,0,0,0,7.2862
1,0,0,1,0,0,0,0,2.0281
1,0,0,1,0,0,0,0,2.6006
1,0,0,1,0,0,0,0,3.4213
1,0,0,1,0,0,0,0,3.5581
1,0,0,1,0,0,0,0,3.8106
1,0,0,1,0,0,0,0,4.6871
1,0,0,1,0,0,0,0,4.7541
1,0,0,1,0,0,0,0,4.9345
1,0,0,1,0,0,0,0,5.2399
0,1,0,1,0,0,0,0,4.1252
0,1,0,1,0,0,0,0,4.7091
0,1,0,1,0,0,0,0,5.0289
0,1,0,1,0,0,0,0,5.0774
0,1,0,1,0,0,0,0,5.5394
0,1,0,1,0,0,0,0,5.6964
0,1,0,1,0,0,0,0,5.7493
0,1,0,1,0,0,0,0,6.2706
0,1,0,1,0,0,0,0,7.6584
0,1,0,1,0,0,0,0,8.7833
1,1,0,1,0,0,0,0,4.0685
1,1,0,1,0,0,0,0,4.3835
1,1,0,1,0,0,0,0,4.4243
1,1,0,1,0,0,0,0,5.6172
1,1,0,1,0,0,0,0,5.701
1,1,0,1,0,0,0,0,6.1607
1,1,0,1,0,0,0,0,6.4026
1,1,0,1,0,0,0,0,6.7651
1,1,0,1,0,0,0,0,6.8339
1,1,0,1,0,0,0,0,7.0343
0,0,1,1,0,0,0,0,2.801
0,0,1,1,0,0,0,0,3.6645
0,0,1,1,0,0,0,0,3.8175
0,0,1,1,0,0,0,0,4.0217
0,0,1,1,0,0,0,0,4.4608
0,0,1,1,0,0,0,0,4.4989
0,0,1,1,0,0,0,0,4.6907
0,0,1,1,0,0,0,0,4.8468
0,0,1,1,0,0,0,0,5.9191
0,0,1,1,0,0,0,0,5.984
1,0,1,1,0,0,0,0,2.2023
1,0,1,1,0,0,0,0,2.9843
1,0,1,1,0,0,0,0,3.3051
1,0,1,1,0,0,0,0,3.4758
1,0,1,1,0,0,0,0,3.5738
1,0,1,1,0,0,0,0,3.7268
1,0,1,1,0,0,0,0,3.7454
1,0,1,1,0,0,0,0,4.503
1,0,1,1,0,0,0,0,4.7162
1,0,1,1,0,0,0,0,5.9235
1,1,1,1,0,0,0,0,2.6087
1,1,1,1,0,0,0,0,4.1619
1,1,1,1,0,0,0,0,4.4131
1,1,1,1,0,0,0,0,4.4818
1,1,1,1,0,0,0,0,4.5685
1,1,1,1,0,0,0,0,4.6202
1,1,1,1,0,0,0,0,5.4714
1,1,1,1,0,0,0,0,5.8424
1,1,1,1,0,0,0,0,6.4906
1,1,1,1,0,0,0,0,9.8752
0,0,0,0,1,0,0,0,1.835
0,0,0,0,1,0,0,0,2.0128
0,0,0,0,1,0,0,0,2.0211
0,0,0,0,1,0,0,0,2.0671
0,0,0,0,1,0,0,0,2.1871
0,0,0,0,1,0,0,0,2.237
0,0,0,0,1,0,0,0,2.2431
0,0,0,0,1,0,0,0,2.4637
0,0,0,0,1,0,0,0,2.5955
0,0,0,0,1,0,0,0,2.6883
0,0,0,0,0,1,0,0,7.1892
0,0,0,0,0,1,0,0,8.5092
0,0,0,0,0,1,0,0,9.1874
0,0,0,0,0,1,0,0,10.0422
0,0,0,0,0,1,0,0,10.1776
0,0,0,0,0,1,0,0,10.8961
0,0,0,0,0,1,0,0,11.4744
0,0,0,0,0,1,0,0,11.7308
0,0,0,0,0,1,0,0,12.2875
0,0,0,0,0,1,0,0,14.1667
0,0,0,0,1,1,0,0,5.7428
0,0,0,0,1,1,0,0,5.7632
0,0,0,0,1,1,0,0,6.8385
0,0,0,0,1,1,0,0,7.0933
0,0,0,0,1,1,0,0,7.1935
0,0,0,0,1,1,0,0,7.4988
0,0,0,0,1,1,0,0,8.0307
0,0,0,0,1,1,0,0,8.3379
0,0,0,0,1,1,0,0,8.642
0,0,0,0,1,1,0,0,8.7935
0,0,0,0,0,0,1,0,2.1027
0,0,0,0,0,0,1,0,2.6002
0,0,0,0,0,0,1,0,2.9884
0,0,0,0,0,0,1,0,3.0026
0,0,0,0,0,0,1,0,3.065
0,0,0,0,0,0,1,0,3.1357
0,0,0,0,0,0,1,0,3.2306
0,0,0,0,0,0,1,0,3.493
0,0,0,0,0,0,1,0,3.559
0,0,0,0,0,0,1,0,3.6695
0,0,0,0,1,0,1,0,2.2681
0,0,0,0,1,0,1,0,2.7505
0,0,0,0,1,0,1,0,2.7721
0,0,0,0,1,0,1,0,2.8534
0,0,0,0,1,0,1,0,3.0561
0,0,0,0,1,0,1,0,3.1382
0,0,0,0,1,0,1,0,3.2146
0,0,0,0,1,0,1,0,3.6111
0,0,0,0,1,0,1,0,3.7746
0,0,0,0,1,0,1,0,3.8225
0,0,0,0,0,1,1,0,7.1142
0,0,0,0,0,1,1,0,7.2637
0,0,0,0,0,1,1,0,7.9273
0,0,0,0,0,1,1,0,7.9717
0,0,0,0,0,1,1,0,8.1681
0,0,0,0,0,1,1,0,8.60511
0,0,0,0,0,1,1,0,9.1508
0,0,0,0,0,1,1,0,9.4409
0,0,0,0,0,1,1,0,10.2173
0,0,0,0,0,1,1,0,10.4695
0,0,0,0,1,1,1,0,5.7503
0,0,0,0,1,1,1,0,5.8362
0,0,0,0,1,1,1,0,6.1364
0,0,0,0,1,1,1,0,6.2823
0,0,0,0,1,1,1,0,6.3337
