SL104,SL106,SL187,SL197,SL68,SLWC2,function
1,0,0,0,0,0,1.395
1,1,1,0,0,0,1.35
1,1,1,1,0,0,1.188
1,1,1,1,1,0,1.102
1,1,1,1,1,1,0.852
1,1,1,1,0,1,1.052
1,1,1,0,1,0,1.253
1,1,1,0,1,1,1.093
1,1,1,0,0,1,1.278
1,1,0,1,0,0,0.832
1,1,0,1,1,0,1.03
1,1,0,1,1,1,1.1
1,1,0,1,0,1,1.182
1,1,0,0,1,0,1.091
1,1,0,0,1,1,1.033
1,1,0,0,0,1,1.369
1,0,1,1,0,0,1.14
1,0,1,1,1,0,1.13
1,0,1,1,1,1,1.081
1,0,1,1,0,1,1.056
1,0,1,0,1,0,1.287
1,0,1,0,1,1,0.982
1,0,1,0,0,1,1.123
1,0,0,1,1,0,0.961
1,0,0,1,1,1,1.183
1,0,0,1,0,1,1.215
1,0,0,0,1,1,1.297
0,1,1,1,0,0,0.605
0,1,1,1,1,0,0.795
0,1,1,1,1,1,0.694
0,1,1,1,0,1,0.561
0,1,1,0,1,0,0.788
0,1,1,0,1,1,0.772
0,1,1,0,0,1,0.677
0,1,0,1,1,0,0.544
0,1,0,1,1,1,0.622
0,1,0,1,0,1,0.442
0,1,0,0,1,1,0.52
0,0,1,0,0,0,0.787
0,0,1,1,1,0,0.901
0,0,1,1,1,1,0.858
0,0,1,1,0,1,0.679
0,0,1,0,1,1,0.827
0,0,0,1,0,0,0.418
0,0,0,1,1,1,0.681
0,0,0,0,1,0,0.397
0,0,0,0,0,0,0
