community	fun
1	0.0021375
1,2,3	0.1901
1,2,3,4	0.1663
1,2,3,4,5	0.1775
1,2,3,4,5,6,7	0.1895
1,2,3,4,5,6,7,8	0.2252
1,2,3,4,5,6,8	0.1653
1,2,3,4,5,7	0.21055
1,2,3,4,5,7,8	0.221
1,2,3,4,5,8	0.1745
1,2,3,4,6	0.1961
1,2,3,4,6,7	0.2237
1,2,3,4,6,7,8	0.2523
1,2,3,4,6,8	0.175866666666667
1,2,3,4,7,8	0.262
1,2,3,4,8	0.2009
1,2,3,5	0.17895
1,2,3,5,6,7	0.22635
1,2,3,5,6,7,8	0.21415
1,2,3,5,6,8	0.1991
1,2,3,5,7	0.2381
1,2,3,5,7,8	0.2342
1,2,3,6	0.15805
1,2,3,6,7	0.2332
1,2,3,6,8	0.1812
1,2,3,7	0.256866666666667
1,2,3,7,8	0.2527
1,2,3,8	0.22
1,2,4	0.22845
1,2,4,5	0.2316
1,2,4,5,6	0.193666666666667
1,2,4,5,6,7,8	0.1769
1,2,4,5,6,8	0.2035
1,2,4,5,7	0.231
1,2,4,6	0.1985
1,2,4,6,7	0.2581
1,2,4,6,8	0.186966666666667
1,2,4,7	0.2655
1,2,4,7,8	0.26835
1,2,4,8	0.25805
1,2,5	0.2273
1,2,5,6	0.2021
1,2,5,6,7	0.2031
1,2,5,6,7,8	0.2291
1,2,5,6,8	0.148
1,2,5,7	0.2702
1,2,5,7,8	0.2555
1,2,5,8	0.2443
1,2,6	0.2123
1,2,6,7	0.256366666666667
1,2,6,7,8	0.274366666666667
1,2,6,8	0.2102
1,2,7	0.27155
1,2,7,8	0.267
1,3	0.0048
1,3,4	0.09125
1,3,4,5	0.1535
1,3,4,5,6	0.1535
1,3,4,5,6,7	0.2255
1,3,4,5,6,7,8	0.1684
1,3,4,5,6,8	0.15215
1,3,4,5,7	0.227666666666667
1,3,4,5,7,8	0.2326
1,3,4,5,8	0.1608
1,3,4,6	0.0859
1,3,4,7	0.25755
1,3,4,8	0.1743
1,3,5,6,7	0.2139
1,3,5,6,7,8	0.22295
1,3,5,6,8	0.1141
1,3,5,7	0.2113
1,3,5,7,8	0.2019
1,3,5,8	0.1183
1,3,6	0.0038
