sp_1,sp_2,sp_3,sp_4,sp_5,sp_6,sp_7,sp_8,function.rep1,function.rep2,function.rep3
0,0,0,0,0,0,0,1,37.7966145454546,24.8970044444444,22.2128955555556
0,0,0,0,0,0,1,0,74.368411764706,83.469144,78.240324
0,0,0,0,0,0,1,1,59.25154,78.58386,67.89467
0,0,0,0,0,1,0,0,1.80766875,0.2947,0.355745
0,0,0,0,0,1,0,1,13.42148,21.87516,24.5443
0,0,0,0,0,1,1,0,37.4128666666667,50.5143866666667,52.97022
0,0,0,0,0,1,1,1,30.76668,47.8677,51.45462
0,0,0,0,1,0,0,0,27.5920848484849,45.2004311111111,38.3381311111111
0,0,0,0,1,0,0,1,27.88704,45.1199733333333,36.6971666666667
0,0,0,0,1,0,1,0,52.34293,63.4868,65.31394
0,0,0,0,1,0,1,1,47.46775,66.10121,56.01826
0,0,0,0,1,1,0,0,12.0406,26.40512,22.03514
0,0,0,0,1,1,0,1,13.26992,23.44128,22.97818
0,0,0,0,1,1,1,0,20.34272,34.0168,40.32338
0,0,0,0,1,1,1,1,24.51904,45.18172,50.20846
0,0,0,1,0,0,0,0,30.65564125,49.16438,45.773225
0,0,0,1,0,0,0,1,44.84492,53.66066,55.12574
0,0,0,1,0,0,1,0,48.44026,64.97714,70.5596
0,0,0,1,0,0,1,1,54.67106,67.7389,58.57794
0,0,0,1,0,1,0,1,14.63396,27.71022,26.11884
0,0,0,1,0,1,1,0,26.97768,43.75032,50.2674
0,0,0,1,1,0,0,0,33.61264,46.1416,42.93358
0,0,0,1,1,0,0,1,30.9856,48.0782,39.10248
0,0,0,1,1,0,1,0,39.8266,56.48136,60.78398
0,0,0,1,1,0,1,1,40.0371,61.55862,61.65966
0,0,0,1,1,1,1,0,20.91528,45.11436,46.49524
0,0,1,0,0,0,0,0,0.121452121212101,0.334928888888908,0.629628888888908
0,0,1,0,0,0,0,1,14.1035,17.88408,16.7137
0,0,1,0,0,0,1,0,39.0744133333333,45.3108266666667,50.8792533333333
0,0,1,0,0,0,1,1,33.89892,44.17553,46.78152
0,0,1,0,0,1,0,0,1.57173333333328,0.65676,10.2695933333333
0,0,1,0,0,1,0,1,11.34174,18.57452,25.57996
0,0,1,0,0,1,1,0,40.05394,44.8168533333333,48.54972
0,0,1,0,1,0,0,0,18.40612,23.9128,21.66466
0,0,1,0,1,0,0,1,12.35214,20.36798,22.23722
0,0,1,0,1,0,1,0,22.292792,33.686736,34.533788
0,0,1,0,1,0,1,1,33.12428,41.867608,43.014412
0,0,1,0,1,1,0,0,11.7459,22.5235,22.03514
0,0,1,0,1,1,0,1,12.14164,21.43732,20.2501
0,0,1,0,1,1,1,0,22.75084,39.75924,39.09406
0,0,1,0,1,1,1,1,25.2150933333333,37.41848,39.8743133333333
0,0,1,1,0,0,0,0,10.33976,22.96976,23.41602
0,0,1,1,0,0,0,1,12.86576,28.67852,27.84494
0,0,1,1,0,0,1,0,27.70601,35.09877,44.33972
0,0,1,1,0,0,1,1,29.75628,47.05096,46.0995
0,0,1,1,0,1,0,0,11.65328,15.98116,20.30062
0,0,1,1,0,1,1,0,28.30804,44.47444,52.4145
0,0,1,1,1,0,0,1,17.24416,28.83008,25.0495
0,0,1,1,1,0,1,0,24.7155066666667,36.49228,38.06682
0,0,1,1,1,0,1,1,26.15252,33.259,42.36102
