mean_coeff	sd_coeff	sd_scale	rs	R2_stitching	R2.identity_stitching	relError.mean_topbot10_stitching	relError.sd_topbot10_stitching	R2_topbot10_stitching	R2.identity_topbot10_stitching	R2_reg1	R2.identity_reg1	relError.mean_topbot10_reg1	relError.sd_topbot10_reg1	R2_topbot10_reg1	R2.identity_topbot10_reg1	R2_reg2	R2.identity_reg2	relError.mean_topbot10_reg2	relError.sd_topbot10_reg2	R2_topbot10_reg2	R2.identity_topbot10_reg2
-1	0.1	0.4	0.00534951475465386	0.999999929749503	0.999999929598531	9.45745358781393e-05	8.45496114431089e-05	0.999999988445265	0.99999998756669	0.999981719226437	0.999087509058273	0.0293114754750384	0.00321441978144537	0.999993549879112	0.99910573980657	0.999587211936107	0.99871442795579	0.0306361631395635	0.0178369209413383	0.999848024863164	0.998712364264511
-0.5	0.1	0.4	0.00583173197602694	0.999999562790354	0.99999956132401	0.000272373935206254	0.000200898852279021	0.999999903612412	0.999999903163066	0.999960223091071	0.999009634182422	0.0305661932636986	0.00409431632460191	0.999988598317576	0.999040281985415	0.99957748031985	0.998742360901063	0.0301410291533	0.0179073363666149	0.999847502203563	0.998742284672703
0	0.1	0.4	0.00405316006969412	0.999996687680083	0.999996520127596	0.000693182410958489	0.000667060336572375	0.999999317564439	0.99999929850687	0.999779719822469	0.99902458824106	0.0278730902966494	0.0069258063630121	0.999956838153459	0.999148930392132	0.999675632068143	0.998975512734348	0.0269695033473788	0.0116001982134668	0.999877460610532	0.999123846932681
0.5	0.1	0.4	0.00530322994408671	0.999999326634138	0.999999324000917	0.000294433233820471	0.000200145189271711	0.999999899406161	0.999999893012113	0.999959673416261	0.998996766965101	0.0304665245013275	0.0034785910743123	0.999991017843948	0.999034038035939	0.999579820785618	0.998740970424682	0.0300739590171885	0.0175718293758871	0.999865660369203	0.998780654085827
1	0.1	0.4	0.00499387964195458	0.999999916007859	0.999999915811596	0.000112944946082581	9.52480855136891e-05	0.999999983255051	0.999999982741719	0.999979824314989	0.999065184002256	0.0296970299900972	0.00329588981114569	0.999993228737042	0.999084082835652	0.999585821821486	0.998729157050129	0.030187093625636	0.0176697716105034	0.999852211834477	0.998745538431164
-1	0.3	0.4	0.0050975036139713	0.99999869062799	0.999998674825369	0.000466005868273533	0.000348342815501529	0.99999972253462	0.999999708766895	0.999913374126109	0.999088075611001	0.0282149222224189	0.00522960320181714	0.999977539436899	0.999150065678263	0.999511105771077	0.998713131307537	0.0289396378091719	0.0189047976495971	0.999801938468572	0.998770319481414
-0.5	0.3	0.4	0.00577724397205574	0.999997146595091	0.999997112123336	0.000672669077179243	0.00048127038359561	0.999999433607717	0.999999394804591	0.999883632273204	0.999078529869326	0.0281418732904364	0.00608568655187332	0.999968488925886	0.999145517201958	0.999508844798547	0.998771147326812	0.0282661901970456	0.0185905425433206	0.999807522141335	0.998843679437502
0	0.3	0.4	0.00582730628890937	0.999997517924346	0.99999751554504	0.000653392728932976	0.000475330714371381	0.999999420443063	0.999999412398057	0.999587150008092	0.999102153804378	0.0267139329842218	0.011632162725397	0.999875587928532	0.999217726860038	0.999407461437897	0.998876849834769	0.0281165611881596	0.0151667156628905	0.999790174525294	0.999057998338709
0.5	0.3	0.4	0.00904394249018214	0.999989388371875	0.99998896029572	0.00145240673804504	0.00110378134225964	0.999997712899425	0.999997055735827	0.999746285884864	0.999014455962374	0.0285727783081035	0.00745189701500761	0.999947375035422	0.999097659900559	0.999465651118785	0.998814974208642	0.0278103624859531	0.0175782977179319	0.999798620841773	0.9988777551615
1	0.3	0.4	0.00580084415768105	0.999997762551394	0.999997710559033	0.000713957560961828	0.000526052711947196	0.999999380913474	0.999999325465791	0.999827072188179	0.999018886519293	0.0283631792301871	0.00767172893305136	0.999949405560904	0.999116014391886	0.999462080013098	0.998753833389943	0.0276186655385335	0.0196937674825765	0.999767497875738	0.998847133479849
-1	0.5	0.4	0.00499325946334154	0.999998379614719	0.999998372796471	0.000524896799728262	0.000385610338995742	0.99999964847137	0.999999642634831	0.999945012388074	0.999042754904681	0.0298137320206116	0.00379904233504352	0.999987038517033	0.999083191186258	0.999565932717291	0.998734051433758	0.0302939887509051	0.0176852680974931	0.999861494427275	0.998775251152161
-0.5	0.5	0.4	0.00988525110063727	0.99999145154251	0.999991110602276	0.00129267934119391	0.000872194319676059	0.999997660007998	0.999997659533778	0.999599424562023	0.999004529148979	0.0295343151925247	0.0120362804977235	0.999872242157379	0.999094248538052	0.999508596700558	0.998955505985892	0.0286440492816195	0.0156925579392124	0.999823674378722	0.999016799271395
0	0.5	0.4	0.00697782111871639	0.999994585636428	0.999994532126589	0.000960612476280568	0.000662697947115682	0.999998882290887	0.999998770550649	0.999598198497825	0.999017105832652	0.0270289761765574	0.0104239409443413	0.999901888870452	0.999132530684374	0.999414532356916	0.998852348979006	0.0270776486129371	0.0161712834922054	0.999748482314992	0.998977645593025
0.5	0.5	0.4	0.00588944325013021	0.999997363408009	0.999997353479861	0.000748368648572157	0.000646666866521683	0.999999254997212	0.99999925260725	0.999892424212362	0.999078570301459	0.0286532800545406	0.00564673582231714	0.999973154615335	0.999133861980528	0.999499035892987	0.998701799276852	0.0299554862974956	0.0188564342109874	0.999828823813635	0.998753021621291
1	0.5	0.4	0.00567525485302933	0.999997619671125	0.999997596071548	0.000643948163767798	0.000505269935180784	0.999999507301094	0.999999454269768	0.999881585362594	0.999000419530976	0.0296668768951663	0.00530140868516833	0.999977319526948	0.999064881537362	0.999480812888552	0.998662722147188	0.0304762623397824	0.0190581073867842	0.999829630336728	0.998715787610088
-1	0.7	0.4	0.00766918822175889	0.999993774506777	0.999993706606196	0.000997384934095885	0.000807553718796026	0.999998827052178	0.999998636072563	0.999851260618604	0.998985464037016	0.0299155866626918	0.00624118349460716	0.999969951052346	0.999042561098414	0.999492419033582	0.998747547038311	0.0287207200037965	0.0184130545220996	0.999823179989418	0.998839824981901
-0.5	0.7	0.4	0.0065924851940042	0.999995727119549	0.99999568607163	0.000994672101350937	0.000793569447320136	0.999998640859533	0.999998628753829	0.99972431006841	0.998993754804834	0.0288134129701443	0.00972589171934189	0.999914418917319	0.999109068378142	0.999408436639976	0.998717122109697	0.0288477695662705	0.0207359709805686	0.999760557820101	0.998825313918833
0	0.7	0.4	0.00821161436837993	0.999993439325828	0.999993285083956	0.00128786433697359	0.00115749963691165	0.999997491489106	0.999997439235934	0.999578990180189	0.999024239152525	0.0300281931949899	0.00766589110060855	0.99994360639322	0.998987557852848	0.999486759517473	0.998963797189235	0.0292263580164403	0.0135112832249913	0.999823459235798	0.998921087983688
0.5	0.7	0.4	0.00616486026827459	0.999988935793254	0.999988202131994	0.00133229816543554	0.00110425663791759	0.999997679293493	0.999997592232182	0.999842932387038	0.998994921424282	0.0288672871009886	0.00693058251912852	0.999959693894507	0.999099729015762	0.999731888799488	0.998942974201791	0.0279730567232777	0.012209754681129	0.999864164562802	0.99906115280275
1	0.7	0.4	0.00674600878026812	0.999995300657142	0.999995235667667	0.000976505894996751	0.000732896114016029	0.999998796507568	0.99999870085438	0.999802388290386	0.998983219148152	0.029743919403569	0.00766679715023163	0.999947961914483	0.999051063001181	0.999414611122724	0.998697789026194	0.0288094211285897	0.0204448692296163	0.999767769952929	0.998769035144158
-1	0.9	0.4	0.00531823687904634	0.99999703071633	0.999996985332962	0.000784312389986466	0.000546421151521221	0.99999925208962	0.999999237604615	0.999813794134177	0.999021505873945	0.02770858097866	0.00811643049187395	0.999940884695708	0.999148949651881	0.999522186054404	0.998742520738107	0.028167558344381	0.0187074767376743	0.999805893302196	0.998835588317013
-0.5	0.9	0.4	0.00429459363350012	0.999997453013548	0.999997333838577	0.000666035577729133	0.000517635120503662	0.999999395502868	0.999999369422442	0.999606555930491	0.99901953921613	0.0229333145607863	0.0104154229600386	0.999900945100613	0.99931449888602	0.999426109531226	0.998871498916358	0.0218536044712323	0.0135681803346425	0.999793380552028	0.999232981492771
0	0.9	0.4	0.00350892383202866	0.999998769806379	0.999998765766468	0.000364560316056614	0.000301629701026284	0.999999796139735	0.999999791509226	0.999657291712308	0.99897804227713	0.0276475841953977	0.00859291514127939	0.999930526084917	0.999121039334538	0.999582710024068	0.998946481660119	0.0270053758173362	0.01220236645276	0.999864921224998	0.999090324783265
0.5	0.9	0.4	0.00950690097301006	0.999991340332531	0.999990763042979	0.00105537788505957	0.000917369030629016	0.999998152204018	0.999998117218647	0.999549127335248	0.999044267695318	0.0244799002038193	0.00975117569692004	0.999902601058683	0.999270849459869	0.999516927149231	0.998982711111309	0.0251177047375753	0.0108834898196819	0.999887876251316	0.999214476614251
1	0.9	0.4	0.00820047588774249	0.999993903714841	0.999993686214909	0.00115848540352312	0.000868610675565698	0.99999844433375	0.999998202947209	0.999566087132944	0.998978809612448	0.0243331109324072	0.011618451798237	0.99986887620102	0.999234614775029	0.999324730394221	0.998731162498891	0.0252582782818659	0.0178231329845732	0.999753447732008	0.999039087628891
-1	0.1	0.671307657286512	0.29720370643276	0.996391239587399	0.99583073452526	0.0594244360311847	0.0516772638646429	0.998802848138324	0.995691283872047	0.959297297575941	0.953753752710595	0.162025623046773	0.0973221367452263	0.984059529798602	0.946545424368976	0.99929191873055	0.998668566892158	0.0368204190416918	0.0280841285927308	0.999722307569228	0.99861018804588
-0.5	0.1	0.671307657286512	0.294484973879842	0.994416186453956	0.993845523078415	0.0568490777245535	0.05106488981167	0.998765625971325	0.995976873600922	0.96101208190564	0.95596972789139	0.151180512994107	0.102632669582763	0.984939276026817	0.95224935816135	0.999563055004858	0.998779154798762	0.0329916862433201	0.021295503617531	0.999765881385155	0.998846561080307
0	0.1	0.671307657286512	0.254701365498113	0.993699805118095	0.993251784692792	0.0415660897103133	0.0338444583638667	0.998156031134163	0.997335463925811	0.97555670369593	0.974450578241304	0.0996306830064446	0.0644549915067463	0.989530534226213	0.985885902864995	0.998964950602476	0.998875864004016	0.0218657327195735	0.0151571402974256	0.99948471999802	0.999296677302792
0.5	0.1	0.671307657286512	0.318081792927308	0.989703148409683	0.988888045258903	0.0568096269758785	0.0595056981277761	0.997234717100636	0.995404402438547	0.957329516278823	0.95257509027215	0.159689709973847	0.0990192192190172	0.97996290053194	0.94902161892874	0.99869730276427	0.998611354563734	0.0254193638743445	0.0223744708913895	0.999200318050702	0.998954598810793
1	0.1	0.671307657286512	0.276037147070537	0.997660159846478	0.997235535048114	0.049106161981323	0.043407648192864	0.999148744111015	0.996823749829828	0.96562212819098	0.96065150317721	0.15249011622017	0.0837299227135553	0.987521303216911	0.954377304903524	0.99937008736675	0.998759603913016	0.0350129535469059	0.0253857548300049	0.999758123501022	0.998722499192904
-1	0.3	0.671307657286512	0.309697430776568	0.992711704029462	0.991991748485206	0.0607851221077369	0.0624124566691034	0.997184450397747	0.995301333942156	0.958440000580671	0.953760706942932	0.170786335607737	0.0944940349001251	0.982231994378548	0.949426801661066	0.998924495576098	0.998661946359219	0.0337551968770438	0.0232223692533592	0.99906446913814	0.99863501763032
-0.5	0.3	0.671307657286512	0.406044785709005	0.987494720667239	0.985629216360415	0.0761567645242477	0.0827455939244938	0.996482724935151	0.992518574713601	0.933159968528031	0.927158189828217	0.21518920677618	0.114128379978337	0.972467042085308	0.924459416738288	0.998712055570474	0.998631155919842	0.0269482117242529	0.0219353171928772	0.999325180476631	0.999012605459782
0	0.3	0.671307657286512	0.639227194478776	0.97823740720584	0.974925697670299	0.0907934907764388	0.0594277754295865	0.995627404888664	0.989156171437079	0.892033203025517	0.887739515074324	0.240786983649175	0.147279071002445	0.959522233343123	0.920792635082224	0.999015282109462	0.998858447855543	0.0236972088890324	0.0144619873255208	0.999555663299474	0.999276407074942
0.5	0.3	0.671307657286512	0.306356227970471	0.989288832033938	0.988454751635382	0.0570719815501278	0.0514913008351051	0.996917878824999	0.995673495012873	0.96328294486528	0.959935536470653	0.147042734639737	0.092950071444224	0.982933681420992	0.964265020086026	0.999001276034064	0.998777818884433	0.0260296940255298	0.0178152296645299	0.999446183175608	0.999105531395041
1	0.3	0.671307657286512	0.294946382465287	0.995408484622566	0.994837427390941	0.0563596111805358	0.0504316076135682	0.998413461813661	0.996169266208679	0.961295268061178	0.956508012991232	0.160903262386093	0.0894198657666865	0.986295445888488	0.952173325106726	0.99958835518438	0.998819672171163	0.0352702794000163	0.022036145719262	0.999824083948432	0.998805791282647
-1	0.5	0.671307657286512	0.270319901455893	0.993068251773756	0.992585515108177	0.0438188171376419	0.0374763274166209	0.998085302013233	0.997497312356403	0.96952723847468	0.967232053864426	0.127788056928349	0.0822769685870112	0.98738929820703	0.971488066112289	0.999008419938717	0.998768760307067	0.0308802180899574	0.0200267432504598	0.999218725513373	0.998755069929204
-0.5	0.5	0.671307657286512	0.500428572185892	0.96993184117589	0.965467305810403	0.109948635714727	0.109532574266236	0.990664102514945	0.985269535920023	0.903037134377222	0.896289801080814	0.215382976605347	0.132759472937145	0.960908154481692	0.918251690703574	0.99881663546285	0.998702881326125	0.0217582572966893	0.0154643141467941	0.999660482913445	0.999363577493799
0	0.5	0.671307657286512	0.333496613624456	0.989830778273978	0.989519634294899	0.0473376726228175	0.0336431067701369	0.99824272402319	0.997057933275185	0.956309933748275	0.954419349237127	0.136862712766007	0.0999411633540176	0.984277336505394	0.974399619248123	0.998905008333003	0.998806426735341	0.0181431311442226	0.013740055452256	0.999634874553093	0.99951087137542
0.5	0.5	0.671307657286512	0.236794302337625	0.992921162617816	0.992498266117052	0.0442082591942737	0.0305014943605771	0.998023262203576	0.997514155063882	0.978146262392415	0.976628639444145	0.0961556824515452	0.064734184291876	0.991569736528838	0.984455951609384	0.998881956993223	0.998694629628519	0.0229779284672354	0.0188332904403677	0.999602294609724	0.999197051791021
